OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
19865;RESIDENCIA Y CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES VELLUTERS;;;009671;8460;S/N;963152023;;
22361;CVIDA. ASOCIACIÓN PARA EL CUIDADO DE LA CALIDAD DE VIDA;729363.79;4373327.76;009595;75150;S/N;963879159;"{""coordinates"": [-0.33331735667516627, 39.47898994947147], ""type"": ""Point""}";39.47898994947147, -0.33331735667516627
22332;DIRECCIÓN GENERAL DE SERVICIOS SOCIALES;723309.73;4372416.28;003494;17160;77;963176708;"{""coordinates"": [-0.40394103986215674, 39.472377875576385], ""type"": ""Point""}";39.472377875576385, -0.40394103986215674
22837;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES BORBOTÓ;724281.47;4377238.82;003427;50430;2;963904648;"{""coordinates"": [-0.3910319895281317, 39.51553400477906], ""type"": ""Point""}";39.51553400477906, -0.3910319895281317
22168;CLUB DE JUBILADOS Y PENSIONISTAS JESÚS-FINCA ROJA;724646.811;4371511.427;003503;22020;80;963325196;"{""coordinates"": [-0.38871669514142254, 39.46388508953769], ""type"": ""Point""}";39.46388508953769, -0.38871669514142254
21918;LARES. ASOCIACIÓN DE RESIDENCIAS Y SERVICIOS DE ATENCIÓN A LOS MAYORES DE LA COMUNIDAD VALENCIANA - SECTOR SOLIDARIO;726354.29;4371941.422;009654;46320;49;963923643;"{""coordinates"": [-0.36874273500256444, 39.46730831073717], ""type"": ""Point""}";39.46730831073717, -0.36874273500256444
21787;RESIDENCIA DE MATRIMONIOS SAN JOAQUÍN Y SANTA ANA;725780.939;4373610.731;006783;66330;6;963478250;"{""coordinates"": [-0.37483601993869026, 39.482484566311015], ""type"": ""Point""}";39.482484566311015, -0.37483601993869026
22357;RESIDENCIA BALLESOL SERRERÍA;728942.509;4371568.678;007705;43620;12;963317180;"{""coordinates"": [-0.3388140989967843, 39.46326885967821], ""type"": ""Point""}";39.46326885967821, -0.3388140989967843
22260;AVIM-CV. ASOCIACIÓN VOLUNTARIOS INFORMÁTICA MAYORES COMUNIDAD VALENCIANA;725251.693;4373024.616;009548;67530;8;963926216;"{""coordinates"": [-0.38118153762120144, 39.47734755951508], ""type"": ""Point""}";39.47734755951508, -0.38118153762120144
21827;RESIDENCIA Y CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES FORTUNY VALENCIA;726156.034;4373394.581;009669;30420;6;963611300;"{""coordinates"": [-0.37055239232568943, 39.48044046689964], ""type"": ""Point""}";39.48044046689964, -0.37055239232568943
20754;CENTRO DE DÍA MUNICIPAL PARA PERSONAS MAYORES DEPENDIENTES LA AMISTAD;727860.23523247;4372542.5714549;007829;77940;12;962082746;"{""coordinates"": [-0.3510490326478857, 39.47232195994289], ""type"": ""Point""}";39.47232195994289, -0.3510490326478857
20292;CENTRO DE DÍA MUNICIPAL PARA PERSONAS MAYORES DEPENDIENTES ARNICHES;;;007828;81140;12;963790742;"{""coordinates"": [-0.40990710092322935, 39.47221135875678], ""type"": ""Point""}";39.47221135875678, -0.40990710092322935
22487;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES SANT MARCEL.Lí;724623.27;4369162.24;003651;67020;s/n;962082883;"{""coordinates"": [-0.389780327197617, 39.442745512539155], ""type"": ""Point""}";39.442745512539155, -0.389780327197617
22346;CLUB DE JUBILADOS Y PENSIONISTAS DISTRITO MARÍTIMO;729556.617;4372149.377;003501;21810;6;963712061;"{""coordinates"": [-0.33148330430679396, 39.468332126611344], ""type"": ""Point""}";39.468332126611344, -0.33148330430679396
21775;TESSA.SERVICIOS DE ATENCIÓN DOMICILIARIA;725388.057;4372172.52;010005;8790;48;963523912;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
