OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
22490;INFOCIUDAD - CENTRO MUNICIPAL DE DÍA PARA PERSONAS CON DISCAPACIDAD INTELECTUAL FUENTE DE SAN LUÍS;726728.89;4370148.24;003282;81324;S/N;963333556;"{""coordinates"": [-0.3650015817631822, 39.45106913530625], ""type"": ""Point""}";39.45106913530625, -0.3650015817631822
20271;TOTS JUNTS PODEM;;;010151;6330;S/N;622207785;;
21760;AVAPACE.CENTRO DE ATENCIÓN TEMPRANA XICOTETS;728828.79;4372610.07;009542;81343;6ac;963611263;"{""coordinates"": [-0.3397774096408712, 39.472672544380586], ""type"": ""Point""}";39.472672544380586, -0.3397774096408712
22809;ASOCIACIÓN VALENCIANA DE AYUDA A LA PARÁLISIS CEREBRAL - AVAPACE;728829.88;4372615.14;001508;81343;6ac;963604437;"{""coordinates"": [-0.3397630544250795, 39.47271786305883], ""type"": ""Point""}";39.47271786305883, -0.3397630544250795
22203;FEDERACIÓN EMPRESARIAL DE ENTIDADES TITULARES DE CENTROS DE DISCAPACITADOS - FEAD;725278.552;4372908.886;005407;62010;10;963919707;"{""coordinates"": [-0.38090866774662835, 39.47629882188629], ""type"": ""Point""}";39.47629882188629, -0.38090866774662835
21756;CENTRO OCUPACIONAL TOMÁS DE OSMA I;724369.15;4372196.79;003368;13290;5153;963857730;"{""coordinates"": [-0.3917105791204608, 39.47012662354979], ""type"": ""Point""}";39.47012662354979, -0.3917105791204608
20759;CENTRO DE DÍA AVAPACE L'HORTA DE SENABRE;724695.82;4370176.505;003352;15390;49;963786799;"{""coordinates"": [-0.38859689990758145, 39.45185631310782], ""type"": ""Point""}";39.45185631310782, -0.38859689990758145
22353;AVAPACE.CENTRO DE DÍA BALADRE;728833.5;4372611.15;009543;81343;6ac;963604437;"{""coordinates"": [-0.3397223601767465, 39.472681065860975], ""type"": ""Point""}";39.472681065860975, -0.3397223601767465
22090;CEDIN. CENTRO DE EVALUACIÓN, DIAGNÓSTICO E INTERVENCIÓN INFANTIL;727593.958;4372325.269;009561;61710;5;963283407;"{""coordinates"": [-0.3542156325143596, 39.47043647209033], ""type"": ""Point""}";39.47043647209033, -0.3542156325143596
23121;OFICINA MUNICIPAL DE ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD - OMAD;726999.04870735;4372951.22389091;005418;5100;11;962082468;"{""coordinates"": [-0.3609115624168713, 39.47622781253449], ""type"": ""Point""}";39.47622781253449, -0.3609115624168713
22233;ASOCIACIÓN PARA LA LUCHA CONTRA LAS ENFERMEDADES DEL RIÑÓN - ALCER-TURIA;724313.01;4371803.56;000472;22500;7;963850402;"{""coordinates"": [-0.39233700000146643, 39.466719000291114], ""type"": ""Point""}";39.466719000291114, -0.39233700000146643
22218;FUNDISVAL. FUNDACIÓN TUTELAR DE LA COMUNIDAD VALENCIANA;727231.72;4374733.91;009638;81293;10ac;963619616;"{""coordinates"": [-0.3576016702708258, 39.49221238811365], ""type"": ""Point""}";39.49221238811365, -0.3576016702708258
20701;CENTRO OCUPACIONAL LA TORRE;724567.19;4368305.62;003361;63090;13-15;963759037;"{""coordinates"": [-0.3907192876956837, 39.435049459288294], ""type"": ""Point""}";39.435049459288294, -0.3907192876956837
21832;ASOCIACIÓN VALENCIANA PRO-PERSONAS CON DISCAPACIDAD INTELECTUAL - ASPRONA;727227.67;4374732.56;001362;81293;10ac;963619616;"{""coordinates"": [-0.35764917010442243, 39.49220125156345], ""type"": ""Point""}";39.49220125156345, -0.35764917010442243
22087;CENTRO DE ATENCIÓN TEMPRANA ALCER TURIA;724335.226;4371835.106;010146;22500;3;960450360;"{""coordinates"": [-0.39222620929658475, 39.466879859567825], ""type"": ""Point""}";39.466879859567825, -0.39222620929658475
20440;CENTRO OCUPACIONAL MUNICIPAL JUAN DE GARAY;724111.86121525;4370509.30714702;003285;39810;52;962087355;"{""coordinates"": [-0.39392239478876145, 39.45685570976309], ""type"": ""Point""}";39.45685570976309, -0.39392239478876145
21936;CENTRO OCUPACIONAL VIRGEN DE LA ESPERANZA;724372.409;4372402.273;003375;46560;1;963842543;"{""coordinates"": [-0.39160365637733907, 39.471975393343435], ""type"": ""Point""}";39.471975393343435, -0.39160365637733907
22091;ASOCIACIÓN DE SINDROME DE DOWN - ASINDOWN;722683.409;4372020.823;000489;78240;6;963890987;"{""coordinates"": [-0.4113472489883462, 39.46898044373701], ""type"": ""Point""}";39.46898044373701, -0.4113472489883462
22731;RESIDENCIA Y CENTRO DE DÍA PARA PERSONAS CON DISCAPACIDAD INTELECTUAL LA NOSTRA CASA - VALL DE LA BALLESTERA;723140.128;4373056.815;007014;74730;75;680392688;"{""coordinates"": [-0.4056965052613716, 39.47818751656257], ""type"": ""Point""}";39.47818751656257, -0.4056965052613716
22284;INSTITUTO VALENCIANO DE ACCIÓN SOCIAL -  IVAS;727772.076;4371795.989;005070;25680;108;961971460;"{""coordinates"": [-0.3523277608510896, 39.46562531500245], ""type"": ""Point""}";39.46562531500245, -0.3523277608510896
22137;CENTRO OCUPACIONAL DE LA DIPUTACIÓN DE VALENCIA;722796.164;4371547.975;003359;16230;34;963791831;"{""coordinates"": [-0.41019563285253363, 39.46469497006702], ""type"": ""Point""}";39.46469497006702, -0.41019563285253363
22352;CENTRO DE ATENCIÓN TEMPRANA ATTEM;728295.822;4372047.346;009566;57540;66;963559222;"{""coordinates"": [-0.3461597414528438, 39.46774904051907], ""type"": ""Point""}";39.46774904051907, -0.3461597414528438
21818;FUNDACIÓN AFIM-AYUDA-FORMACIÓN E INTEGRACIÓN DE PERSONAS CON DISCAPACIDAD;726834.415;4371656.646;005413;66420;44;963515854;"{""coordinates"": [-0.3632638582847465, 39.46461864478044], ""type"": ""Point""}";39.46461864478044, -0.3632638582847465
21859;CENTRO OCUPACIONAL JOSÉ ALCAMÍ;728166.975;4372569.485;003360;29280;5;963554933;"{""coordinates"": [-0.34747745578005557, 39.47248294821693], ""type"": ""Point""}";39.47248294821693, -0.34747745578005557
21809;ASOCIACIÓN SINDROME X FRAGIL DE LA COMUNIDAD VALENCIANA;723268.333;4373496.023;010190;33030;67;669819503;"{""coordinates"": [-0.4040603242568377, 39.48210772474601], ""type"": ""Point""}";39.48210772474601, -0.4040603242568377
21867;ASOCIACIÓN PARA LA INTEGRACIÓN DE PERSONAS CON DISCAPACIDAD - HOGAR VULL;727752.236;4371841.159;001393;25680;79;963614492;"{""coordinates"": [-0.35254273774148426, 39.466037138711684], ""type"": ""Point""}";39.466037138711684, -0.35254273774148426
21971;CENTRO OCUPACIONAL ALBAES;725205.134;4370504.32;003358;57900;24;963800247;"{""coordinates"": [-0.38257289698244734, 39.45467403637308], ""type"": ""Point""}";39.45467403637308, -0.38257289698244734
20858;VIVIENDA TUTELADA BONA GENT II;724871.94;4371179.97;009690;14640;4dup;963447712;"{""coordinates"": [-0.3862140572648524, 39.46084280203843], ""type"": ""Point""}";39.46084280203843, -0.3862140572648524
21238;VIVIENDA TUTELADA BONA GENT I;724788.336;4372034.513;009689;24870;21;963289959;"{""coordinates"": [-0.3868970052178594, 39.46855657451018], ""type"": ""Point""}";39.46855657451018, -0.3868970052178594
21826;RESIDENCIA PARA PERSONAS MAYORES DEPENDIENTES NUESTRA SEÑORA DE LOS DESAMPARADOS;723550.022;4371744.782;009666;51420;39;963708050;"{""coordinates"": [-0.4013752178753198, 39.46627108216833], ""type"": ""Point""}";39.46627108216833, -0.4013752178753198
21935;CENTRO OCUPACIONAL LUZ VERDE;725199.24;4373898.002;003362;24690;31;963493647;"{""coordinates"": [-0.3814957893651872, 39.48522279284992], ""type"": ""Point""}";39.48522279284992, -0.3814957893651872
22285;AVAPACE.CENTRO RESIDENCIAL TARONGERS;728825.59;4372609.99;009544;81343;6ac;963604437;"{""coordinates"": [-0.3398146494627048, 39.47267264644524], ""type"": ""Point""}";39.47267264644524, -0.3398146494627048
21996;CENTRO OCUPACIONAL VICENTE PÉREZ;728379.37;4372087.2;003357;36600;9y11;963557891;"{""coordinates"": [-0.3451758487884729, 39.468085624406434], ""type"": ""Point""}";39.468085624406434, -0.3451758487884729
21793;DISCAPACITADOS PSÍQUICOS PROFUNDOS - ASPADIS;727430.421;4373043.997;003351;17610;1;963690294;"{""coordinates"": [-0.35586979951868264, 39.47694897253682], ""type"": ""Point""}";39.47694897253682, -0.35586979951868264
21903;CENTRO OCUPACIONAL TOMÁS DE OSMA II;723565.12;4371982.81;003374;5490;68;963502639;"{""coordinates"": [-0.40112007583633735, 39.468409750751], ""type"": ""Point""}";39.468409750751, -0.40112007583633735
22127;FEAPS CV. FEDERACIÓN DE ASOCIACIONES EN FAVOR DE LAS PERSONAS CON DISCAPACIDAD INTELECTUAL DE LA COMUNIDAD VALENCIANA;725177.432;4372875.357;009615;62010;29;963923733;"{""coordinates"": [-0.3820944593750093, 39.47602348548953], ""type"": ""Point""}";39.47602348548953, -0.3820944593750093
22371;CENTRO OCUPACIONAL MUNICIPAL ISABEL DE VILLENA;730104.18;4373776.41;003283;37350;125;962082580;"{""coordinates"": [-0.32456325393662283, 39.48283049721363], ""type"": ""Point""}";39.48283049721363, -0.32456325393662283
21274;CENTRO OCUPACIONAL MUNICIPAL GRAVADOR PLANES;728806.79;4372190.5;003284;34560;2;963525478;"{""coordinates"": [-0.3401768621486964, 39.468901897514414], ""type"": ""Point""}";39.468901897514414, -0.3401768621486964
21907;CENTRO OCUPACIONAL STELLA MARIS;729909.25;4373168.86;009585;81356;4ac;963550601;"{""coordinates"": [-0.32703687537924614, 39.477414180178634], ""type"": ""Point""}";39.477414180178634, -0.32703687537924614
20977;CENTRO OCUPACIONAL SAN MARCELINO;724631.69;4369180.513;009584;81546;5;963170587;"{""coordinates"": [-0.389676465516523, 39.442907827636105], ""type"": ""Point""}";39.442907827636105, -0.389676465516523
21814;CENTRO OCUPACIONAL MARCHALENES;724874.46;4374014.95;003356;45210;8;963405897;"{""coordinates"": [-0.38522902812658016, 39.48636041957092], ""type"": ""Point""}";39.48636041957092, -0.38522902812658016
