OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
22987;ASOCIACIÓN DE MUJERES DEL CENTRO DE SALUD SALVADOR ALLENDE;725543.957;4375156.245;001455;20280;63;963369250;"{""coordinates"": [-0.3770657131650107, 39.49645810423566], ""type"": ""Point""}";39.49645810423566, -0.3770657131650107
22970;ASOCIACIÓN CULTURAL 'MUJERES DE MARXALENES';724948.576;4374096.148;009496;61140;57;962059371;"{""coordinates"": [-0.38434067122688653, 39.48707192148157], ""type"": ""Point""}";39.48707192148157, -0.38434067122688653
23031;ALIA. ASOCIACIÓN PARA LA IGUALDAD DE OPORTUNIDADES ENTRE MUJERES Y VARONES;727590.104;4373859.865;009474;51660;16;960803590;"{""coordinates"": [-0.3537366973252472, 39.484250369393216], ""type"": ""Point""}";39.484250369393216, -0.3537366973252472
21874;PROGRAMA DE INSERCIÓN DE TRANSEÚNTES - MAMBRÉ;725434.398;4375119.665;005449;40110;9;963666492;"{""coordinates"": [-0.3783509408809141, 39.49615756962001], ""type"": ""Point""}";39.49615756962001, -0.3783509408809141
22112;FAMILIAS ALTERNATIVAS DE TRANSICIÓN DE L'HORTA NORD;725256.0;4372616.098;009801;58140;19;605304457;"{""coordinates"": [-0.3812694815424072, 39.47366928540907], ""type"": ""Point""}";39.47366928540907, -0.3812694815424072
20169;PROYECTO MARE - FUNDACIÓN ESYCU;729536.42;4370204.62;009605;81444;5;963390533;"{""coordinates"": [-0.35517599989538945, 39.481074000240696], ""type"": ""Point""}";39.481074000240696, -0.35517599989538945
21839;ASOCIACIÓN  POR TI MUJER;727802.018;4373055.649;009507;2430;12;963476774;"{""coordinates"": [-0.3515499178242857, 39.476955567122424], ""type"": ""Point""}";39.476955567122424, -0.3515499178242857
23040;ASOCIACIÓN PARA LA PROMOCIÓN DE LA MUJER PORTOMAR;727392.15;4373099.84;009520;21600;5ac;963604400;"{""coordinates"": [-0.35629529558001716, 39.47746171534862], ""type"": ""Point""}";39.47746171534862, -0.35629529558001716
22729;UNIDAD DE IGUALDAD MARÍTIMO - U.I.M.;729776.405;4372056.35;010041;2910;85;962065205;"{""coordinates"": [-0.3289629820978499, 39.46743616978086], ""type"": ""Point""}";39.46743616978086, -0.3289629820978499
21928;CÁRITAS DIOCESANA DE VALENCIA;725710.023;4373114.614;003477;18600;5;963919205;"{""coordinates"": [-0.37582768284585183, 39.47803755423808], ""type"": ""Point""}";39.47803755423808, -0.37582768284585183
21978;CENTRO DE ASISTENCIA A VÍCTIMAS DE AGRESIONES SEXUALES - CAVAS;725049.984;4372994.935;001507;35100;102;963943069;"{""coordinates"": [-0.3835343662529488, 39.477133168955646], ""type"": ""Point""}";39.477133168955646, -0.3835343662529488
21964;INSTITUCIÓN VILLA TERESITA;725222.99;4372600.72;009650;8340;14ac;963926284;"{""coordinates"": [-0.3816580944520649, 39.47353953353774], ""type"": ""Point""}";39.47353953353774, -0.3816580944520649
20171;ASOCIACIÓN DE AMAS DE CASA Y CONSUMIDORES TYRIUS CASTELLAR;726732.459;4367695.393;009500;0;20;963515993;"{""coordinates"": [-0.37078840258378065, 39.47399798478356], ""type"": ""Point""}";39.47399798478356, -0.37078840258378065
20854;TARPURISUN - SEMBREMOS, AMIGOS DE AREQUIPA. PERÚ;724784.7;4373402.931;006621;47760;11;646114059;"{""coordinates"": [-0.386478059784143, 39.48087496560426], ""type"": ""Point""}";39.48087496560426, -0.386478059784143
20177;PRIM. ASOCIACIÓN PARA LA PROTECCIÓN E INTEGRACIÓN DE LA MUJER;725388.057;4372172.52;009604;8790;48;963523912;"{""coordinates"": [-0.37989449966842137, 39.46963500041926], ""type"": ""Point""}";39.46963500041926, -0.37989449966842137
20162;ASOCIACIÓN DE MUJERES SEPARADAS Y DIVORCIADAS DE LA COMUNIDAD VALENCIANA;725907.052;4372968.124;001460;0;100;622219318;"{""coordinates"": [-0.3823022878128172, 39.469454518886], ""type"": ""Point""}";39.469454518886, -0.3823022878128172
22730;ESPAI DONES I IGUALTAT - EDI;726084.88479446;4372759.09421774;003656;33960;14;962087475;"{""coordinates"": [-0.3715942406139341, 39.474739075495606], ""type"": ""Point""}";39.474739075495606, -0.3715942406139341
22972;CENTRO MUJER 24 HORAS;725272.768;4372049.31;003444;35100;21;900580888;"{""coordinates"": [-0.3812661285953307, 39.46856312841411], ""type"": ""Point""}";39.46856312841411, -0.3812661285953307
23018;SEMINARI DONES GRANS;;;009692;36300;4;;"{""coordinates"": [-0.3793904996729021, 39.47569199976732], ""type"": ""Point""}";39.47569199976732, -0.3793904996729021
20276;GESTIÓ SOCIOSANITARIA AL MEDITARRANI, S.L. (GESMED);;;009641;81652;10;963152140;;
23023;SÀLVIA. ASOCIACIÓN DE MUJERES DEL MEDIO RURAL;725932.9;4372647.565;009824;45090;22;912608802;"{""coordinates"": [-0.373397213464501, 39.473775098667886], ""type"": ""Point""}";39.473775098667886, -0.373397213464501
22975;ASOCIACIÓN VALENCIANA VIVIR COMO ANTES;724806.109;4372414.701;001522;30000;33;963130367;"{""coordinates"": [-0.38656248919254976, 39.47197409427279], ""type"": ""Point""}";39.47197409427279, -0.38656248919254976
22954;XARXA. ASOCIACIÓN DE MUJERES CON DISCAPACIDAD;724257.559;4371309.241;009509;46110;17;963577092;"{""coordinates"": [-0.39330488646563866, 39.462166632069305], ""type"": ""Point""}";39.462166632069305, -0.39330488646563866
22295;ESYCU. FUNDACIÓN DE LA COMUNIDAD VALENCIANA DE ESTUDIO Y CULTURA;727422.013;4373509.926;009612;40650;23;963390533;"{""coordinates"": [-0.3558085560434731, 39.481145020477186], ""type"": ""Point""}";39.481145020477186, -0.3558085560434731
23038;COORDINADORA DE ORGANIZACIONES FEMENINAS CATÓLICAS;725859.63;4372714.075;003449;7650;12;963155895;"{""coordinates"": [-0.37422566042963296, 39.47439299534256], ""type"": ""Point""}";39.47439299534256, -0.37422566042963296
20174;HOGAR DE MUJERES EN SITUACIÓN DE RIESGO;726155.37;4372668.34;005444;0;20;963523086;"{""coordinates"": [-0.3705251639311867, 39.47394409384429], ""type"": ""Point""}";39.47394409384429, -0.3705251639311867
20170;ASOCIACIÓN PROVINCIAL DE AMAS DE CASA Y CONSUMIDORAS TYRIUS DISTRITO MARÍTIMO;729789.984;4371951.838;009523;0;20;963515993;"{""coordinates"": [-0.3707937467999231, 39.47399907864561], ""type"": ""Point""}";39.47399907864561, -0.3707937467999231
23033;ASOCIACIÓN PROVINCIAL DE AMAS DE CASA Y CONSUMIDORES TYRIUS EL PALMAR;731221.086;4354303.695;009526;33000;82;961620160;"{""coordinates"": [-0.3183137861204684, 39.30726050640775], ""type"": ""Point""}";39.30726050640775, -0.3183137861204684
22993;ASOCIACIÓN NOVA DONA I SALUT;724492.127;4371102.811;001448;37680;6;963782137;"{""coordinates"": [-0.3906504276816845, 39.46024737170336], ""type"": ""Point""}";39.46024737170336, -0.3906504276816845
22276;ASOCIACIÓN LA CASA GRANDE DE VALENCIA;725496.907;4375104.795;001503;14460;8;963463374;"{""coordinates"": [-0.37762975023469764, 39.496007334592385], ""type"": ""Point""}";39.496007334592385, -0.37762975023469764
23035;ASOCIACIÓN MUJER AHORA;724638.36;4369405.43;002122;69090;33ac;659638233;"{""coordinates"": [-0.38952342832671033, 39.44493067247705], ""type"": ""Point""}";39.44493067247705, -0.38952342832671033
22968;ASOCIACIÓN DE MUJERES MAYORES ACTIVAS TRINITAT - AMAT;726358.677;4373932.398;001444;9780;2;963264780;"{""coordinates"": [-0.3680160615290681, 39.4852281166045], ""type"": ""Point""}";39.4852281166045, -0.3680160615290681
22149;AN-NUR. ASOCIACIÓN DE MUJERES MUSULMANAS;726126.473;4374763.321;010192;6870;19;963630330;"{""coordinates"": [-0.370431443321535, 39.49276839235483], ""type"": ""Point""}";39.49276839235483, -0.370431443321535
22092;ASOCIACIÓN ORRIOLS CONVIVE;726232.393;4374878.24;010145;6870;34;961336003;"{""coordinates"": [-0.36916192923790503, 39.493774932598285], ""type"": ""Point""}";39.493774932598285, -0.36916192923790503
