OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
22052;CENTRO CLÍNICO PREVI;726434.108;4372348.424;009564;34440;12;963536100;"{""coordinates"": [-0.36767767667111, 39.4709507852497], ""type"": ""Point""}";39.4709507852497, -0.36767767667111
22200;ASOCIACIÓN POR LA SALUD INTEGRAL DEL ENFERMO MENTAL - ASIEM;725234.552;4372889.087;001349;62010;19;963922859;"{""coordinates"": [-0.3814263976229473, 39.476132124276404], ""type"": ""Point""}";39.476132124276404, -0.3814263976229473
21818;FUNDACIÓN AFIM-AYUDA-FORMACIÓN E INTEGRACIÓN DE PERSONAS CON DISCAPACIDAD;726834.415;4371656.646;005413;66420;44;963515854;"{""coordinates"": [-0.3632638582847465, 39.46461864478044], ""type"": ""Point""}";39.46461864478044, -0.3632638582847465
21889;ACIERTA, SERVICIOS A LA COMUNIDAD SL;725041.894;4372390.357;007778;35100;44;963270880;"{""coordinates"": [-0.3838323090902536, 39.47169335317225], ""type"": ""Point""}";39.47169335317225, -0.3838323090902536
22404;ASOCIACIÓN NAUTAE;729774.30850383;4371759.62938428;010275;2910;26;688278206;"{""coordinates"": [-0.3290895000391148, 39.46476600014255], ""type"": ""Point""}";39.46476600014255, -0.3290895000391148
22016;VIVIENDA TUTELADA EOLUS;729651.886;4371873.097;009691;61620;77;963718186;"{""coordinates"": [-0.3304720493099838, 39.46581996704276], ""type"": ""Point""}";39.46581996704276, -0.3304720493099838
22367;CRIS. CENTRO DE REHABILITACIÓN E INTEGRACIÓN SOCIAL - CENTRO DE DÍA PARA ENFERMOS MENTALES VELLUTERS;725114.71;4372632.439;009594;15210;19;963910680;"{""coordinates"": [-0.3829049369035491, 39.47385334125833], ""type"": ""Point""}";39.47385334125833, -0.3829049369035491
22462;VIVIENDA TUTELADA PAPALLONA.;729232.306;4372906.238;010174;42600;14;963679580;"{""coordinates"": [-0.3349894069683215, 39.47523094601475], ""type"": ""Point""}";39.47523094601475, -0.3349894069683215
21972;COTTOLENGO DEL PADRE ALEGRE;727376.894;4373734.826;003383;25170;87;963692096;"{""coordinates"": [-0.3562559266282933, 39.4831812685578], ""type"": ""Point""}";39.4831812685578, -0.3562559266282933
21727;RESIDENCIA DE TERCERA EDAD RUZAFA;726452.201;4369498.585;006784;7590;101;963733705;"{""coordinates"": [-0.3684342974076508, 39.4452942887163], ""type"": ""Point""}";39.4452942887163, -0.3684342974076508
22015;VIVIENDA TUTELADA ARCO IRIS;723747.027;4373113.002;009688;80950;27;963335017;"{""coordinates"": [-0.3986284484550269, 39.47853568613862], ""type"": ""Point""}";39.47853568613862, -0.3986284484550269
22325;ASOCIACIÓN, CRIS Y CENTRO DE DÍA ACOVA;727957.215;4371670.642;009533;41250;3;963812860;"{""coordinates"": [-0.35022064007284687, 39.46444806763081], ""type"": ""Point""}";39.46444806763081, -0.35022064007284687
22463;VIVIENDA TUTELADA .VALTURIA-I.;724877.293;4371361.386;010179;44220;1;653796180;"{""coordinates"": [-0.38609075370010293, 39.46247436507886], ""type"": ""Point""}";39.46247436507886, -0.38609075370010293
22464;VIVIENDA TUTELADA VALTURIA SOCIAL III;727477.838;4372409.509;010178;22650;17;663796180;"{""coordinates"": [-0.35553545730765274, 39.471225412090035], ""type"": ""Point""}";39.471225412090035, -0.35553545730765274
21899;CEEM - MENTALIA PUERTO;728817.174;4371517.368;003387;35730;5;963301291;"{""coordinates"": [-0.34028708981119, 39.462840341092196], ""type"": ""Point""}";39.462840341092196, -0.34028708981119
21982;CRIS AVAC;724450.289;4370177.107;009572;33060;48;963777000;"{""coordinates"": [-0.39144747219270376, 39.451925748922704], ""type"": ""Point""}";39.451925748922704, -0.39144747219270376
22077;VIVIENDAS TUTELADAS PARA ENFERMOS MENTALES VELLUTERS;725111.73;4372610.089;009597;8340;32;963921080;"{""coordinates"": [-0.3829470901039277, 39.47365294384173], ""type"": ""Point""}";39.47365294384173, -0.3829470901039277
22044;SOM ROGLE COOPERATIVA VALENCIANA.;725486.294;4374584.944;010127;53640;48;611096393;"{""coordinates"": [-0.3779289585658958, 39.49133086875187], ""type"": ""Point""}";39.49133086875187, -0.3779289585658958
